country_code,admin_level,admin1,admin2,fips,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08
US,1,"Alabama","","01",8.331,10.398,10.538,10.144,10.982,13.024,11.373,8.513,10.901,10.892,10.954,11.755,12.269,9.379,6.384,9.49,8.263,7.662,7.863,8.325,5.233,2.903,5.398,5.519,6.305,6.363,6.956,4.772,2.739,5.148,4.49,5.619,5.876,6.624,4.241,1.191,4.476,4.326,4.519
US,2,"Alabama","Autauga County","01001",7.194,14.587,13.865,13.88,14.659,17.066,11.562,8.51,15.882,14.429,14.484,15.707,15.103,8.297,5.488,11.726,10.317,9.624,8.482,9.838,4.694,2.271,6.438,7.03,6.912,6.731,7.601,4.54,2.633,5.896,5.196,6.278,6.23,7.47,4.006,1.049,5.216,4.851,4.792
US,2,"Alabama","Baldwin County","01003",9.78,12.042,11.481,10.879,12.381,13.789,11.481,9.971,11.566,11.936,12.102,12.588,13.547,10.871,9.601,9.538,8.747,8.51,8.58,11.389,6.71,4.281,6.645,6.422,6.63,6.618,7.402,5.5,3.148,5.241,4.999,6.054,5.954,6.758,4.392,1.324,4.484,4.726,5.042
US,2,"Alabama","Barbour County","01005",8.348,10.004,9.267,6.517,8.247,11.002,13.146,7.382,9.166,8.668,9.596,11.567,11.258,9.522,5.416,9.632,8.556,7.252,7.009,7.459,6.228,3.624,6.06,6.743,6.645,7.015,7.994,5.284,4.85,6.412,5.479,5.84,5.495,6.155,5.184,2.183,4.763,4.406,4.388
US,2,"Alabama","Bibb County","01007",13.008,23.076,24.164,22.768,26.944,32.374,27.175,12.452,29.973,24.206,27.877,26.126,29.176,17.004,13.342,16.496,17.37,19.282,18.225,18.496,6.752,3.581,8.878,12.335,13.569,11.518,13.157,8.58,4.14,10.346,9.363,10.754,10.873,14.236,7.384,2.911,8.849,7.141,10.532
US,2,"Alabama","Blount County","01009",15.963,22.456,23.222,23.035,23.676,26.543,21.764,14.292,24.033,22.942,23.612,24.595,25.029,17.865,10.462,20.85,18.751,16.429,16.1,16.148,9.763,4.954,10.32,9.495,13.944,12.992,14.069,8.618,4.372,10.76,9.484,12.526,13.245,14.549,7.914,1.989,10.689,9.551,10.065
US,2,"Alabama","Bullock County","01011",12.907,17.151,25.562,10.087,19.226,18.286,27.929,10.907,12.33,18.54,12.496,28.301,23.705,19.643,12.117,15.167,9.655,11.915,14.218,15.552,8.25,7.448,8.511,8.34,19.364,11.198,11.236,8.176,3.108,8.147,3.158,14.433,10.033,5.062,7.916,3.091,1.671,1.928,2.1
US,2,"Alabama","Butler County","01013",11.775,13.187,13.158,8.84,13.58,20.036,20.771,9.471,15.399,10.282,12.287,14.958,19.592,15.55,7.877,11.146,10.684,8.731,10.884,11.104,8.976,3.983,7.002,7.63,6.732,5.824,8.068,6.16,3.036,5.731,5.571,6.896,5.684,7.859,5.496,3.45,4.832,4.068,5.346
US,2,"Alabama","Calhoun County","01015",8.263,9.819,9.986,9.43,10.392,12.624,10.965,8.644,10.329,10.048,10.6,11.241,11.149,9.656,5.993,9.464,8.513,7.89,8.49,8.081,5.858,2.821,4.98,6.146,7.131,7.055,7.474,5.347,2.973,6.221,5.253,6.086,6.434,7.291,4.864,1.16,4.879,4.857,5.076
US,2,"Alabama","Chambers County","01017",11.868,15.288,13.536,13.538,14.645,17.873,16.858,8.792,13.59,14.712,14.361,16.092,16.598,12.262,6.564,12.946,10.693,9.746,8.835,10.477,5.777,3.035,6.756,6.856,6.362,6.028,7.941,5.264,2.199,5.382,5.536,5.438,6.555,6.35,4.381,0.498,4.61,4.096,3.789
US,2,"Alabama","Cherokee County","01019",14.0,11.214,12.665,11.198,13.886,21.359,13.638,12.01,12.268,12.859,13.725,15.48,13.412,11.929,7.714,11.892,10.016,8.137,8.702,8.083,7.235,4.845,6.114,5.096,7.374,6.874,7.461,5.7,5.798,6.426,5.454,5.647,6.771,7.407,5.738,3.479,5.745,6.414,5.035
US,2,"Alabama","Chilton County","01021",10.171,15.319,13.702,14.503,15.614,20.929,22.753,11.563,18.481,15.165,17.679,18.365,21.104,14.656,9.503,14.392,14.296,11.813,12.696,13.664,8.47,4.308,8.621,9.676,10.425,10.906,12.445,8.127,3.58,9.947,8.252,10.427,10.844,11.631,7.549,2.552,7.882,7.073,8.006
US,2,"Alabama","Choctaw County","01023",12.433,26.282,19.185,11.56,18.094,22.976,15.439,11.919,24.331,16.494,19.492,23.874,22.355,18.195,11.072,16.194,18.464,16.057,17.113,16.438,11.067,4.787,13.043,15.233,15.15,12.532,12.357,10.955,4.174,11.672,7.713,11.459,12.564,11.441,4.948,3.186,12.462,7.615,9.154
US,2,"Alabama","Clarke County","01025",7.98,14.531,13.434,11.753,13.465,18.58,15.552,8.482,13.28,13.614,15.036,16.347,16.127,11.502,9.057,13.068,8.474,10.668,10.018,13.454,7.389,3.438,7.364,7.55,8.814,7.456,10.519,7.134,4.545,9.391,5.431,6.847,7.801,9.151,4.608,1.823,6.357,5.158,5.878
US,2,"Alabama","Clay County","01027",11.809,19.827,20.585,17.952,17.778,24.465,23.261,10.55,18.894,16.803,12.91,22.359,25.871,16.689,11.617,15.706,14.658,13.251,13.966,13.487,6.632,5.918,9.782,10.064,14.704,14.38,10.363,8.531,5.751,11.48,11.286,9.929,12.853,15.362,5.162,2.487,8.313,8.135,12.689
US,2,"Alabama","Cleburne County","01029",16.317,22.8,21.396,22.644,21.719,22.826,21.951,16.606,21.383,20.527,20.67,22.621,21.166,17.774,15.2,18.86,16.79,17.185,19.108,14.591,11.138,7.158,17.178,13.15,10.515,14.409,18.418,10.31,7.608,14.801,14.293,18.556,11.162,15.967,6.796,2.18,10.271,9.481,12.655
US,2,"Alabama","Coffee County","01031",7.312,9.521,10.071,8.322,9.246,10.994,9.345,6.013,9.351,10.294,9.888,9.612,12.043,8.141,6.115,8.42,7.964,7.528,8.042,7.297,4.157,3.274,6.028,6.029,7.016,6.752,7.554,4.206,2.621,5.265,4.913,6.046,7.661,7.014,3.819,0.938,4.623,4.805,5.007
US,2,"Alabama","Colbert County","01033",7.12,8.144,8.798,8.441,9.063,10.657,10.469,7.44,8.544,8.894,8.61,9.117,9.759,8.448,5.957,7.385,6.945,6.91,6.852,6.865,4.782,2.926,4.827,4.239,5.517,5.878,6.484,4.513,3.101,5.087,3.941,5.51,5.767,6.308,4.508,1.689,4.124,3.976,4.496
US,2,"Alabama","Conecuh County","01035",20.677,19.332,19.756,15.916,16.777,23.49,27.368,12.272,13.568,11.968,20.713,22.884,31.58,21.882,20.324,16.081,22.934,18.944,21.884,14.659,12.775,11.759,17.273,15.767,19.438,27.687,26.854,17.57,13.098,5.618,14.142,15.8,17.604,13.631,13.6,4.27,11.737,11.138,10.664
US,2,"Alabama","Coosa County","01037",11.623,14.209,14.771,14.355,14.99,18.468,17.552,13.681,14.388,16.642,17.535,16.498,15.666,15.086,11.891,17.246,13.298,11.494,13.882,13.786,9.478,9.836,11.883,9.046,12.034,11.828,13.355,8.004,6.778,10.32,8.3,10.723,9.092,12.452,10.32,5.786,10.13,9.872,10.748
US,2,"Alabama","Covington County","01039",8.708,11.66,11.941,10.304,10.569,13.54,11.2,8.482,11.358,11.356,10.721,11.96,12.61,10.086,9.72,11.585,9.847,10.349,10.498,10.124,5.945,5.684,8.844,8.058,8.647,8.068,10.076,5.595,3.542,6.769,6.195,7.339,8.022,7.77,5.28,2.775,7.382,6.031,6.483
US,2,"Alabama","Crenshaw County","01041",9.698,22.056,18.476,17.032,19.274,26.002,20.078,9.796,22.515,19.04,17.632,20.382,26.305,18.728,10.692,19.274,16.126,13.054,14.655,17.822,8.617,5.041,12.849,13.176,12.434,11.471,11.157,7.442,3.315,13.37,10.908,12.587,9.9,15.719,7.846,1.41,10.791,12.688,13.036
US,2,"Alabama","Cullman County","01043",9.635,10.22,10.816,10.809,11.359,12.668,11.677,8.75,10.632,10.895,10.842,12.099,12.244,9.91,6.848,9.717,8.921,8.239,8.851,8.609,5.736,3.966,6.433,6.074,7.891,7.908,8.13,5.981,3.848,7.095,5.772,6.842,7.118,8.75,5.775,2.54,6.376,6.062,6.46
US,2,"Alabama","Dale County","01045",8.079,10.84,10.216,9.221,10.062,12.5,10.773,6.712,10.292,10.377,10.218,11.02,11.941,8.846,6.796,9.901,9.258,7.967,8.98,9.392,6.0,3.414,6.944,6.917,7.294,7.411,7.296,4.4,2.111,6.408,6.06,6.778,7.097,7.348,3.932,0.815,5.518,4.993,5.37
US,2,"Alabama","Dallas County","01047",7.309,7.875,7.993,5.895,7.848,9.221,7.999,5.98,8.611,6.744,7.339,8.707,9.231,6.275,5.706,7.378,7.007,6.389,6.199,6.735,5.43,3.35,5.094,4.826,6.472,5.359,4.991,3.468,2.74,4.434,3.665,4.508,4.816,5.524,3.284,1.657,4.059,3.254,3.757
US,2,"Alabama","DeKalb County","01049",10.216,12.32,13.47,12.766,13.807,16.38,15.092,10.881,12.513,12.702,13.748,13.716,14.063,13.148,8.124,11.809,10.692,11.001,11.141,10.83,7.456,4.58,7.441,7.29,9.993,9.551,10.832,7.108,5.454,7.699,6.926,8.139,9.428,9.502,6.136,1.631,6.843,6.887,7.465
US,2,"Alabama","Elmore County","01051",10.82,15.8,15.096,15.161,15.778,17.79,14.673,10.585,16.595,16.43,16.484,16.764,16.808,11.465,8.82,14.637,12.759,11.297,11.698,12.277,6.781,3.389,9.09,9.206,9.559,10.536,10.359,6.358,3.374,9.183,6.801,9.305,9.215,9.973,5.624,2.094,7.262,6.982,6.789
US,2,"Alabama","Escambia County","01053",9.538,12.153,13.183,10.988,14.557,16.669,15.666,10.004,13.33,11.98,12.227,15.236,14.845,13.654,8.481,10.958,9.255,8.591,8.152,10.093,7.137,3.79,7.779,8.54,8.345,7.746,8.804,5.836,4.366,6.121,6.586,6.936,7.546,7.35,5.283,2.482,5.654,6.422,6.337
US,2,"Alabama","Etowah County","01055",7.626,8.824,9.338,9.367,9.537,10.438,9.62,7.612,9.692,9.239,9.329,9.825,9.8,7.976,5.942,8.288,7.465,7.6,7.316,7.558,5.136,3.148,5.366,5.662,6.766,6.493,6.939,5.561,3.743,5.753,5.022,5.997,6.226,7.108,4.581,1.31,4.794,4.526,5.1
US,2,"Alabama","Fayette County","01057",10.672,18.11,16.691,14.938,22.259,25.422,24.95,11.797,16.67,18.705,16.696,18.708,23.375,14.661,7.004,14.5,11.409,12.9,11.834,11.965,10.14,4.377,8.312,7.905,11.74,12.684,11.834,7.344,4.686,7.371,6.99,8.719,9.862,14.171,6.406,2.994,7.295,6.8,8.837
US,2,"Alabama","Franklin County","01059",7.907,12.384,13.734,13.433,13.041,17.008,18.057,9.758,14.796,12.792,14.536,14.762,15.586,12.703,5.681,10.17,8.221,9.54,10.687,10.163,4.99,3.31,7.303,4.22,8.752,8.484,9.324,4.862,3.256,6.944,4.91,5.635,7.585,7.547,5.653,2.393,4.953,4.217,4.462
US,2,"Alabama","Geneva County","01061",10.217,17.83,17.893,16.051,18.932,21.425,17.62,11.788,18.659,18.067,19.462,20.087,18.682,16.404,10.212,16.242,15.704,16.371,14.319,15.875,8.064,5.308,10.567,13.417,13.542,11.86,14.259,9.364,3.213,10.482,8.72,11.429,12.236,11.538,5.623,2.469,10.342,9.82,10.31
US,2,"Alabama","Greene County","01063",35.14,36.059,40.278,36.39,40.064,44.266,38.141,36.259,35.991,45.869,40.652,40.837,45.247,19.788,34.829,"",36.696,37.561,44.279,39.448,19.501,18.777,6.056,38.024,36.734,37.01,34.421,14.704,10.05,18.461,14.91,36.906,6.29,19.163,12.573,4.65,14.458,15.96,24.608
US,2,"Alabama","Hale County","01065",17.01,18.891,19.01,20.065,20.037,22.061,20.178,17.422,20.028,19.658,20.212,21.771,22.34,18.99,14.352,19.466,17.738,18.109,16.555,18.055,11.623,3.017,12.697,13.595,15.763,16.277,16.343,12.133,5.698,8.989,10.218,12.359,13.435,11.102,10.832,2.734,10.93,8.654,12.088
US,2,"Alabama","Henry County","01067",14.647,17.136,17.526,15.314,16.918,18.396,16.806,12.694,17.347,16.639,16.605,17.49,18.687,15.65,13.285,16.056,14.644,14.76,16.165,16.9,13.506,6.395,14.368,14.801,14.004,14.83,14.606,10.806,5.72,11.984,9.902,12.895,14.182,14.794,11.886,1.246,13.844,12.401,13.659
US,2,"Alabama","Houston County","01069",6.24,8.159,8.404,7.644,7.856,9.281,7.735,6.334,8.071,8.186,8.267,8.55,8.541,7.414,5.743,7.848,6.376,6.65,6.85,7.181,4.726,3.045,5.606,5.87,5.36,5.985,6.09,4.471,2.532,4.91,4.588,5.411,5.271,5.928,3.78,0.771,4.48,4.68,4.618
US,2,"Alabama","Jackson County","01071",7.012,9.497,9.71,10.214,9.497,14.387,12.062,8.312,10.479,10.16,10.242,10.604,12.912,9.658,5.823,8.803,7.205,7.528,7.488,7.259,4.905,2.548,4.493,4.108,5.951,6.768,6.826,5.439,3.752,5.344,4.547,5.453,6.054,6.257,5.244,2.273,5.576,4.886,4.301
US,2,"Alabama","Jefferson County","01073",7.866,9.433,9.951,9.697,10.07,11.855,10.639,8.125,10.021,10.026,10.005,10.589,11.042,8.355,5.164,8.311,6.892,6.049,6.415,6.813,3.971,1.724,3.254,4.082,4.46,4.66,4.993,3.335,1.922,3.767,3.225,4.546,4.677,5.238,3.595,0.623,3.27,2.991,3.292
US,2,"Alabama","Lamar County","01075",11.156,19.766,20.923,17.709,21.241,22.801,25.257,13.785,20.915,18.606,19.373,21.535,22.737,19.39,10.372,18.608,17.327,15.048,17.942,17.184,11.368,5.643,9.693,10.862,15.132,16.159,17.373,9.716,6.083,12.704,9.523,13.643,11.498,15.114,9.05,4.354,10.892,8.28,9.889
US,2,"Alabama","Lauderdale County","01077",7.224,9.238,9.815,9.874,10.539,11.462,9.872,7.753,9.753,9.392,9.602,10.604,10.639,8.193,6.159,9.48,7.757,7.669,7.967,7.283,5.518,3.387,5.699,4.658,7.049,6.98,7.412,5.354,3.687,5.476,5.327,5.631,6.434,7.176,4.827,1.842,5.563,4.858,5.073
US,2,"Alabama","Lawrence County","01079",11.711,18.717,18.067,18.749,19.519,21.128,19.607,11.057,19.913,20.71,18.287,19.406,21.146,14.271,9.104,15.922,12.108,11.716,12.804,11.043,7.381,4.587,9.182,8.013,11.091,11.846,10.701,7.202,5.557,10.319,7.474,8.977,12.378,10.057,7.376,2.563,8.806,7.509,10.253
US,2,"Alabama","Lee County","01081",7.491,7.06,6.956,7.016,7.662,10.769,10.348,8.478,9.905,10.014,9.881,10.228,10.134,8.317,6.063,7.385,6.746,6.377,6.752,7.13,5.099,2.51,4.832,5.075,5.502,5.502,6.412,4.776,2.459,4.854,4.075,5.166,5.66,5.916,3.933,0.8,3.961,3.766,3.804
